timestamp_ns,bid,ask,price,mid_ema,price_ema
1741804976907617,82692.8594,82692.8672,82692.8672,82692.8594,82692.8672
1741804977797085,82692.8594,82692.8672,82692.8672,82692.8594,82692.8672
1741804978073106,82692.8672,82694.25,82692.8672,82692.8984,82692.8672
1741804978077130,82692.8594,82694.0391,82692.8594,82692.8984,82692.8672
1741804978078099,82692.8672,82694.0391,82692.8672,82692.8984,82692.8672
1741804978157831,82692.8594,82692.8672,82692.8594,82692.8984,82692.8672
1741804978166521,82692.8594,82692.8672,82692.8594,82692.8984,82692.8672
1741804978169933,82692.8594,82692.8672,82692.8594,82692.8984,82692.8672
1741804978235872,82678.9922,82681.5625,82681.5469,82692.7344,82692.7188
1741804978358911,82681.5469,82681.5625,82681.5469,82692.4609,82692.4453
1741804978785015,82677.1484,82677.1562,82677.1484,82691.1562,82691.1406
1741804978890362,82677.1484,82677.1562,82677.1484,82690.8594,82690.8438
1741804979447273,82669.8281,82677.1406,82676.0938,82688.9219,82689.2031
1741804979730884,82674.8594,82683.1172,82683.1172,82688.3594,82688.8594
1741804979745103,82674.8828,82683.1016,82674.8906,82688.3359,82688.8203
1741804979970816,82674.6797,82684,82683.9922,82687.9297,82688.6016
1741804980506539,82677.5625,82683.8672,82683.8672,82687.1562,82688.0938
1741804980885105,82684.0391,82688.4922,82684.0469,82687.0859,82687.7891
1741804981024048,82688.4922,82688.5,82688.5,82687.125,82687.8125
1741804981127764,82688.4922,82688.5,82688.5,82687.1562,82687.8281
1741804982230094,82688.4922,82688.5,82688.4922,82687.4531,82687.9766
1741804982895588,82688.4922,82688.5,82688.5,82687.5938,82688.0469
1741804982974756,82690.6016,82699.1328,82699.1172,82687.7109,82688.2188
1741804983394224,82692.1484,82700.7578,82700.7578,82688.4453,82689.2734
1741804983680572,82690.7578,82700.1484,82700.1484,82688.8438,82689.8984
1741804983724030,82690.75,82698.3984,82698.3984,82688.8906,82689.9688
1741804984049041,82690.75,82696.7891,82696.7891,82689.2109,82690.4141
1741804984148175,82690.75,82695.5625,82695.5625,82689.2891,82690.5156
1741804984391873,82690.75,82695.2109,82695.2109,82689.4688,82690.7422
1741804984698258,82690.7734,82697.2109,82697.2031,82689.7422,82691.1406
1741804984739661,82693.3281,82697.2109,82697.2031,82689.7891,82691.1875
1741804984835028,82693.9219,82697.2109,82697.2109,82689.8984,82691.3047
1741804984904345,82697.3203,82704.7578,82704.75,82690.0547,82691.4922
1741804985495675,82704.7422,82704.75,82704.75,82691.7891,82693.0625
1741804985516875,82704.7422,82704.75,82704.75,82691.8438,82693.1094
1741804985525468,82704.75,82704.7578,82704.7578,82691.8672,82693.1328
1741804986058209,82704.75,82704.7578,82704.7578,82693.2422,82694.375
1741804987202319,82704.75,82704.7578,82704.7578,82695.875,82696.75
1741804989090517,82704.75,82704.7578,82704.7578,82699.2266,82699.7734
1741804989094659,82704.75,82704.7578,82704.7578,82699.2344,82699.7812
